gene,pagerank
AKT1,0.008404979229898227
TP53,0.005774958916409788
MAPK1,0.005444538346501524
MYC,0.005175414438224437
TGFB1,0.005070386827280445
NFKB1,0.005003729878634146
CTNNB1,0.004977064500286738
TNF,0.004054863410605541
IL6,0.0035412898815298023
STAT3,0.003347083359780713
CD4,0.0032557885162538248
EGFR,0.0032109329725157616
VEGFA,0.0031625325975996573
MTOR,0.0029929070718238524
IFNG,0.002875207778738282
BCL2,0.0028335014571547706
CCND1,0.002696801246195374
CD8A,0.0026188339976482337
CASP3,0.0025969766611210546
MAPK3,0.002585332506631889
CD34,0.0024236752625110556
IL1B,0.0023507547829078944
CDH1,0.0023438095453014954
HIF1A,0.002240291672877775
MMP9,0.0022365860864988142
CD44,0.0022109844180719838
ESR1,0.0020587878930448467
ERBB2,0.0020535544277387923
INS,0.0019660189212577345
PTEN,0.0019545448856615713
MAPK8,0.0018767757108828214
VIM,0.0018655539315071401
MMP2,0.0018090940600750747
EGF,0.001804036385256931
AR,0.0017833113011589035
FN1,0.001768487756869318
MAPK14,0.0017293132534725482
KRAS,0.0016999310906062831
PROM1,0.001697044124369402
KIT,0.0016871608601886187
SRC,0.0016067189914045993
CD274,0.0015643273968479405
IL17A,0.001517862665740448
PRNP,0.001502245727259972
IL2,0.0014895679347657802
BRAF,0.0014791757156182503
ABL1,0.0014791580070799397
YAP1,0.0014568265524316328
BAX,0.001447288094172985
PIK3R1,0.0014277442142811118
