gene,pagerank
AKT1,0.004450347328029003
TP53,0.003383851929164827
NFKB1,0.0031787998172272923
MAPK1,0.0031379545749357167
TNF,0.0030949434294883825
CTNNB1,0.0028569235732263795
TGFB1,0.00285613242500495
MYC,0.002396943096445063
IL6,0.002375532651088038
MTOR,0.0021817540869940666
CASP3,0.0021344948022841647
IL1B,0.0020518367883090595
CD4,0.0020345859155172807
STAT3,0.0020095033948979895
EGFR,0.0019874515711915132
IFNG,0.0019496775829210672
BCL2,0.0019068827207695523
INS,0.0018627547591043036
MAPK3,0.0018484976066164421
CDH1,0.0018482319104908614
VEGFA,0.0018111390652660667
CCND1,0.0017501627471086438
CD8A,0.0017076196274023402
MAPK8,0.0016970086033413392
HIF1A,0.0016391918079396981
MAPK14,0.0015820173909377078
ESR1,0.001580307133315394
MMP9,0.0015147157039020532
BAX,0.0014843255870575416
EGF,0.0013494450197835547
VIM,0.001346205004781436
GSK3B,0.001335634871202068
APP,0.001308454421914531
MMP2,0.0012869413098519215
ERBB2,0.0012739852196192393
RELA,0.0012298297004182418
PPARG,0.0012021555926734317
JUN,0.0012000946866442316
CDKN1A,0.0011823837814217276
IL10,0.0011700379993918803
FN1,0.0011666719360104274
AR,0.0011650842265941107
H3P16,0.0011220263230941223
NFE2L2,0.0011200179175196987
SRC,0.0011048705347712654
TLR4,0.001098197594310895
CD274,0.001091854263359668
YAP1,0.0010896658385765024
CXCL8,0.0010890972496714264
PTEN,0.0010786652180612196
