"tcga_abbreviation","project_id","status","n_tumor","n_normal","n_genes_tested","output_file","skip_reason"
"ACC","TCGA-ACC","skipped","79","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"BLCA","TCGA-BLCA","completed","412","19","37550","per-project DEG table omitted from lightweight GitHub repo",""
"BRCA","TCGA-BRCA","completed","1111","113","43597","per-project DEG table omitted from lightweight GitHub repo",""
"CESC","TCGA-CESC","completed","304","3","32568","per-project DEG table omitted from lightweight GitHub repo",""
"CHOL","TCGA-CHOL","completed","35","9","25729","per-project DEG table omitted from lightweight GitHub repo",""
"COAD","TCGA-COAD","completed","481","41","38447","per-project DEG table omitted from lightweight GitHub repo",""
"DLBC","TCGA-DLBC","skipped","48","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"ESCA","TCGA-ESCA","completed","184","13","43838","per-project DEG table omitted from lightweight GitHub repo",""
"GBM","TCGA-GBM","completed","372","5","43937","per-project DEG table omitted from lightweight GitHub repo",""
"HNSC","TCGA-HNSC","completed","520","44","34169","per-project DEG table omitted from lightweight GitHub repo",""
"KICH","TCGA-KICH","completed","66","25","28141","per-project DEG table omitted from lightweight GitHub repo",""
"KIRC","TCGA-KIRC","completed","541","72","40058","per-project DEG table omitted from lightweight GitHub repo",""
"KIRP","TCGA-KIRP","completed","290","32","33489","per-project DEG table omitted from lightweight GitHub repo",""
"LAML","TCGA-LAML","skipped","151","0","NA","","requested_normal_sample_type_unavailable: Blood Derived Normal"
"LGG","TCGA-LGG","skipped","516","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"LIHC","TCGA-LIHC","completed","371","50","31046","per-project DEG table omitted from lightweight GitHub repo",""
"LUAD","TCGA-LUAD","completed","540","59","41211","per-project DEG table omitted from lightweight GitHub repo",""
"LUSC","TCGA-LUSC","completed","511","51","41154","per-project DEG table omitted from lightweight GitHub repo",""
"MESO","TCGA-MESO","skipped","87","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"OV","TCGA-OV","skipped","426","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"PAAD","TCGA-PAAD","completed","178","4","30032","per-project DEG table omitted from lightweight GitHub repo",""
"PCPG","TCGA-PCPG","completed","179","3","28640","per-project DEG table omitted from lightweight GitHub repo",""
"PRAD","TCGA-PRAD","completed","501","52","35714","per-project DEG table omitted from lightweight GitHub repo",""
"READ","TCGA-READ","completed","166","10","27949","per-project DEG table omitted from lightweight GitHub repo",""
"SARC","TCGA-SARC","completed","259","2","33569","per-project DEG table omitted from lightweight GitHub repo",""
"SKCM","TCGA-SKCM","skipped","103","1","NA","","no_sufficient_tcga_normal_samples: n_normal=1, min_normal=2"
"STAD","TCGA-STAD","completed","412","36","46739","per-project DEG table omitted from lightweight GitHub repo",""
"TGCT","TCGA-TGCT","skipped","150","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"THCA","TCGA-THCA","completed","505","59","31727","per-project DEG table omitted from lightweight GitHub repo",""
"THYM","TCGA-THYM","completed","120","2","30227","per-project DEG table omitted from lightweight GitHub repo",""
"UCEC","TCGA-UCEC","completed","553","35","39187","per-project DEG table omitted from lightweight GitHub repo",""
"UCS","TCGA-UCS","skipped","57","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
"UVM","TCGA-UVM","skipped","80","0","NA","","requested_normal_sample_type_unavailable: Solid Tissue Normal"
