mesh_id,raw_nodes,raw_edges,raw_density,largest_component_nodes,largest_component_edges,ranked_genes,beta,elapsed_seconds
D018268,13278,154996,0.0017584007751321408,13193,154950,13193,1.0,5.656909704208374
D002295,16269,271894,0.0020546345969743415,16200,271858,16200,1.0,16.14871120452881
D002583,14787,213022,0.0019486043995254275,14705,212978,14705,1.0,10.318579912185669
D005909,14785,210468,0.001925762772905147,14717,210432,14717,1.0,9.991097688674927
D000077195,16601,289641,0.0021020725272029627,16532,289605,16532,1.0,13.996865034103394
D002292,16386,259774,0.001935112779834941,16301,259725,16301,1.0,11.688333988189697
D006528,15886,264115,0.0020932508935735893,15833,264087,15833,1.0,12.008515119552612
D000086002,16830,296678,0.0020949463808953555,16754,296636,16754,1.0,12.784632444381714
D018284,14472,190892,0.001823016613276495,14375,190842,14375,1.0,8.193048238754272
D021441,14974,218537,0.0019494330255704201,14871,218478,14871,1.0,11.278674125671387
D010673,13091,145596,0.0016992879192774047,12997,145549,12997,1.0,5.705368757247925
D008545,14711,200710,0.0018550009586466765,14640,200671,14640,1.0,8.808077335357666
D013274,14848,214499,0.0019460258283921284,14781,214464,14781,1.0,10.160643577575684
D000077273,16373,250157,0.001866434088801039,16298,250117,16298,1.0,11.624098062515259
D013945,14426,205397,0.0019740690612294718,14354,205360,14354,1.0,9.026889085769653
D001749,15028,218610,0.0019360944816232564,14954,218570,14954,1.0,10.57724928855896
D001943,15552,249426,0.002062657635450382,15476,249385,15476,1.0,13.102983474731445
D002277,16112,289155,0.0022278643869426953,16034,289111,16034,1.0,14.451053142547607
D002294,15230,228933,0.001974090711526075,15157,228895,15157,1.0,10.223215818405151
D000230,15270,236680,0.0020302144948033656,15185,236636,15185,1.0,11.0160813331604
D018281,16075,289943,0.002244231626240303,16022,289916,16022,1.0,14.592939376831055
D003110,15314,237760,0.0020277754577439134,15235,237719,15235,1.0,11.845742225646973
D016403,13402,148789,0.0016568912322270106,13250,148702,13250,1.0,5.7169294357299805
D004938,15356,233747,0.0019826594169812316,15270,233701,15270,1.0,9.79477572441101
D015470,14882,247203,0.0022324940789728515,14809,247164,14809,1.0,8.429823875427246
D005910,15197,240441,0.0020823387112656427,15133,240408,15133,1.0,8.510663509368896
D000077192,16731,316331,0.0022602366342308407,16663,316295,16663,1.0,15.536066055297852
D008175,15495,244936,0.0020404571768363592,15428,244900,15428,1.0,9.033552646636963
D010051,15782,252491,0.002027586258179906,15694,252442,15694,1.0,7.035409450531006
D010235,14612,187305,0.001754647015944079,14524,187259,14524,1.0,5.611882448196411
D011471,15616,254527,0.002087622963942825,15553,254494,15553,1.0,7.956494331359863
D012004,14802,217788,0.001988165273399975,14720,217745,14720,1.0,6.9717857837677
D012983,13735,164538,0.0017444981085048814,13638,164484,13638,1.0,6.944271087646484
D012509,15274,249883,0.002142345782683749,15199,249843,15199,1.0,10.529951333999634
D012878,14573,199026,0.0018744406020187933,14483,198980,14483,1.0,8.642802238464355
D013736,15917,219580,0.0017335151026838884,15830,219534,15830,1.0,10.246567249298096
D009373,15764,220879,0.0017777845243607242,15688,220836,15688,1.0,12.116647481918335
D016889,14968,226084,0.0020183723629005014,14907,226052,14907,1.0,12.274541854858398
D014594,14860,214600,0.0019437988514195846,14808,214574,14808,1.0,9.483136892318726
D002296,14686,200267,0.001857213847231092,14577,200207,14577,1.0,6.155640602111816
D000098943,14397,182395,0.001760066519986576,14301,182344,14301,1.0,5.390253782272339
