component,explained_variance_ratio
1,0.119409084
2,0.078813605
3,0.05366483
4,0.045827944
5,0.04532326
6,0.04385329
7,0.038622912
8,0.036488216
9,0.03511619
10,0.032170158
11,0.028350716
12,0.028032206
13,0.025731418
14,0.02397015
15,0.023423178
16,0.02274206
17,0.021343332
18,0.020244408
19,0.018676722
20,0.018031158
21,0.016934024
22,0.016302167
23,0.016230857
24,0.01579802
25,0.015067372
26,0.014322471
27,0.013782923
28,0.013351705
29,0.012241254
30,0.0120327445
31,0.0116510065
32,0.011134558
33,0.0106185265
34,0.010414831
35,0.00962921
36,0.009241124
37,0.008973967
38,0.008816896
39,0.008017953
40,0.0056035463
41,1.09107595e-13
